[10, 0, 0]
[16.25, 1.5011-0.12961j, 0]
[16.25, 3.0022-0.25922j, 0]
[16.25, 4.23375-0.36556j, 0]
[16.25, 6.9664-0.60151j, 0]
[16.25, 14.1007-1.21755j, 0]
[16.25, 21.235-1.8336j, 0]
[16.25, 32.761-2.8288j, 0]
[16.25, 44.287-3.824j, 0]
[16.25, 55.813-4.8192j, 0]
[16.25, 67.339-5.8144j, 0]
[16.25, 74.4735-6.43045j, 0]
[16.25, 81.608-7.0465j, 0]
[16.25, 84.3405-7.28245j, 0]
[16.25, 87.073-7.5184j, 0]
[16.25, 87.72-7.57425j, 0]
[16.25, 88.367-7.6301j, 0]
[530.0, 88.575-7.648j, 0]
[0.625, 87.2010-7.518j, 0]
[0.625, 82.1985-7.046j, 0]
[0.625, 69.1373-5.814j, 0]
[0.625, 48.0375-3.824j, 0]
[0.625, 26.9377-1.833j, 0]
[0.625, 13.8765-0.601j, 0]
[0.625, 8.8740-0.1296j, 0]
[0.625, 7.6896-0.0179j, 0]
[5, 7.5672-0.0069375j, 0]
[5, 7.7016-0.020813j, 0]
[5, 7.8359-0.034688j, 0]
[5, 7.9703-0.048563j, 0]
[5, 8.1047-0.062438j, 0]
[5, 8.2391-0.076312j, 0]
[5, 8.3734-0.090188j, 0]
[5, 8.5078-0.10406j, 0]
[90, 8.575-0.111j, 0]
