[10, 0, 0, 0, 0, 0]
[25.0, 64.405-1.3485j, 20.0, 0.05, 0.5 ,0.95]
[35.0, 35.799-3.011j, 30.0, 0.05, 0.5 ,0.95]
[22.9, 64.405-1.3485j, 20.0, 0.05, 0.5 ,0.95]
[35.0, 35.799-3.011j, 30.0, 0.05, 0.5 ,0.95]
[23.1, 64.405-1.3485j, 20.0, 0.05, 0.5 ,0.95]
[35.2, 35.799-3.011j, 30.0, 0.05, 0.5 ,0.95]
[30.0, 45.222-1.969j, 25.0, 0.05, 0.5 ,0.95]
[25.0, 64.405-1.3485j, 20.0, 0.05, 0.5 ,0.95]
[33.0, 35.799-3.011j, 30.0, 0.05, 0.5 ,0.95]
[23.6, 64.405-1.3485j, 20.0, 0.05, 0.5 ,0.95]
[35.5, 35.799-3.011j, 30.0, 0.05, 0.5 ,0.95]
[24.0, 64.405-1.3485j, 20.0, 0.05, 0.5 ,0.95]
[35.9, 35.799-3.011j, 30.0, 0.05, 0.5 ,0.95]
[100.0, 20.071-0.458j, 5.0, 0.05, 0.5 ,0.95]
